Rewards,Lengths,Loss,Q1,Best_Distances
25.4,34,0.63914,5.58798,313
74.75,125,0.58844,5.61735,826
61.65,67,0.74499,5.53664,689
61.05,70,0.69565,5.58656,685
237.95,380,0.58822,5.58626,2473
20.7,35,0.86264,5.64113,311
23.0,37,0.75481,5.56305,295
106.85,167,0.73422,5.54851,1151
103.25,195,0.65467,5.58579,1124
24.3,30,0.4044,5.7135,311
24.5,32,0.42184,5.64679,314
63.3,105,0.57338,5.59179,712
24.5,34,0.87952,5.61213,303
21.9,47,0.73469,5.53895,285
60.6,78,0.51148,5.6552,684
24.7,29,0.59893,5.61197,310
24.6,39,0.68389,5.6219,311
65.05,95,0.56358,5.62022,723
78.05,136,0.48062,5.64251,856
131.1,203,0.72226,5.59857,1413
24.8,31,0.82496,5.49906,312
142.55,216,0.66434,5.65268,1524
132.55,217,0.62283,5.65932,1429
24.1,37,0.78876,5.61136,311
25.6,32,0.56197,5.61696,315
24.5,30,0.52477,5.68704,313
62.0,82,0.64575,5.65661,693
104.35,186,0.66422,5.66306,1129
80.95,159,0.60456,5.68911,900
21.8,40,0.83324,5.59246,283
59.8,103,0.66491,5.68032,681
25.0,35,0.72988,5.67454,314
24.2,32,0.7626,5.68975,301
104.5,126,0.71754,5.71715,1126
63.45,94,0.63572,5.74681,712
60.75,111,0.65697,5.68697,690
25.4,34,0.4986,5.76261,313
104.75,149,0.65894,5.73556,1130
59.8,96,0.70286,5.75091,679
103.85,186,0.69963,5.68766,1130
24.4,30,0.99571,5.75679,313
25.5,35,0.61666,5.60278,313
81.6,140,0.60238,5.79048,898
24.2,31,0.60743,5.84638,311
62.1,99,0.55536,5.83744,692
23.9,36,0.61458,5.83296,309
61.15,85,0.83045,5.7901,682
24.55,33,0.8151,5.82058,312
25.4,34,0.49816,5.81013,312
60.45,71,0.70948,5.82944,679
23.55,36,0.90858,5.88861,303
62.4,83,0.60956,5.84978,698
81.55,155,0.7759,5.79688,898
60.1,107,0.58781,5.87971,680
61.45,85,0.59717,5.87372,690
22.6,43,0.62354,5.84262,292
65.25,87,0.6423,5.78339,722
24.55,33,1.3343,5.76253,312
76.0,119,0.72968,5.78528,836
60.85,72,0.75809,5.69569,683
157.75,206,0.56951,5.80487,1674
133.25,169,0.61753,5.78588,1419
22.25,41,0.389,5.86863,295
132.15,198,0.75057,5.75416,1414
62.15,93,0.67739,5.78056,700
63.9,90,0.80037,5.71807,710
72.4,175,0.6193,5.73102,814
23.3,43,0.82633,5.75603,299
102.95,248,0.70301,5.69472,1127
60.1,93,0.53763,5.76095,687
134.35,177,0.7387,5.70905,1434
24.2,31,0.52841,5.71341,310
24.8,35,0.70698,5.7403,313
132.7,230,0.55007,5.80544,1425
141.85,268,0.72864,5.77095,1522
130.85,239,0.56416,5.78791,1420
25.0,30,0.6299,5.82002,313
24.6,29,0.32662,5.83314,314
25.3,36,0.65274,5.80955,313
24.7,30,0.52664,5.74944,316
62.3,94,0.77149,5.76812,694
61.85,79,0.73215,5.74679,688
61.95,89,0.60388,5.80771,702
22.9,43,0.59579,5.75557,295
104.5,208,0.62427,5.83097,1138
23.5,41,0.45123,5.83484,306
25.1,31,0.85437,5.79603,315
61.45,64,0.45958,5.77877,682
105.4,199,0.75983,5.78808,1151
24.45,34,1.31772,5.66025,311
24.6,36,0.72675,5.67908,311
25.2,29,0.52002,5.81561,315
142.7,259,0.57633,5.8016,1526
139.95,214,0.65025,5.77618,1506
65.4,70,0.5106,5.77612,722
155.55,299,0.6727,5.79501,1669
24.7,30,0.4006,5.75737,315
168.15,236,0.65304,5.78258,1779
23.65,35,0.55451,5.84912,308
78.6,161,0.77302,5.76622,870
24.3,33,0.83031,5.75332,307
22.8,36,1.31646,5.6821,298
25.3,35,0.39733,5.73624,312
62.75,87,0.89647,5.83143,705
22.75,39,0.80085,5.65614,295
64.75,86,0.53502,5.86189,722
104.0,158,0.70761,5.79004,1127
74.95,178,0.75764,5.78661,838
63.15,79,0.65648,5.78657,707
59.45,99,0.70328,5.80672,674
79.0,141,0.7516,5.76251,870
103.9,155,0.66555,5.75111,1124
24.1,31,0.49773,5.72866,310
23.8,39,0.81471,5.72302,298
59.8,74,0.86218,5.68936,675
61.15,62,0.59531,5.74542,679
62.85,97,0.71273,5.74393,708
22.6,44,0.47965,5.75959,286
24.4,31,0.68074,5.81577,307
60.5,70,0.52387,5.8181,681
114.55,169,0.70327,5.74915,1222
133.5,226,0.72009,5.74783,1433
103.25,153,0.6355,5.75131,1126
132.85,202,0.70961,5.73837,1434
