Rewards,Lengths,Loss,Q1,Best_Distances
103.35,238,0.82939,5.61455,1129
102.2,208,0.77257,5.60806,1129
25.3,30,0.64236,5.63585,312
24.2,33,0.54488,5.63572,306
24.3,29,0.62501,5.66058,311
25.0,30,1.03654,5.62579,314
104.2,176,0.76842,5.57126,1128
74.7,151,0.83356,5.59616,835
24.5,30,1.02673,5.64659,314
25.0,30,0.5666,5.6106,314
25.0,30,1.00835,5.61372,314
25.2,29,1.32477,5.59399,315
24.0,34,0.92436,5.51729,304
23.6,36,0.50013,5.49987,300
25.0,30,0.76536,5.65207,314
24.8,30,0.86766,5.68758,312
25.0,30,1.04601,5.59966,314
25.0,30,0.76922,5.52262,313
24.9,35,0.80543,5.56666,308
63.25,90,0.76108,5.6301,710
62.5,88,0.78874,5.63023,700
61.2,75,1.13474,5.58312,684
24.75,30,0.67126,5.56206,314
63.65,87,0.71327,5.61426,709
61.7,134,1.10035,5.49185,701
103.1,211,0.71837,5.5566,1130
24.65,35,1.31264,5.5089,313
64.05,81,0.80412,5.51752,712
23.75,34,0.78789,5.58028,304
25.3,30,0.68304,5.53901,312
24.4,30,0.7358,5.53234,313
60.2,112,0.6129,5.59528,682
23.5,36,0.79368,5.54338,299
25.5,30,0.74456,5.5253,314
62.0,77,0.56984,5.62072,698
24.7,30,0.63542,5.57564,311
65.3,71,0.69326,5.57238,722
24.9,30,0.83177,5.51744,313
23.6,33,0.53584,5.54526,300
25.0,30,1.24852,5.592,314
25.0,30,1.05376,5.51207,314
25.0,30,0.90449,5.49384,314
25.1,30,1.28296,5.49389,315
24.7,31,0.76029,5.44405,311
24.8,29,0.74154,5.47067,311
25.1,30,0.51069,5.54339,314
25.0,30,0.77643,5.57063,314
25.0,30,0.57192,5.51563,314
25.0,30,0.98688,5.50804,314
24.7,30,0.66503,5.48741,311
62.65,67,0.79973,5.46363,695
80.9,175,0.74356,5.50682,898
24.55,29,0.84328,5.51221,311
24.7,31,0.59861,5.51262,311
24.8,28,0.7825,5.53785,311
24.7,29,1.54474,5.50364,310
